t_native_s,t_opt_s,ax,ay,az,gx,gy,gz,mx,my,mz
2437.547,0.3234687,-9.816227,1.441309,-1.58975,0.2258361,0.0809601,0.5326322,503,819,114
2437.551,0.327375,-9.911995,1.489193,-1.455675,0.1629855,0.07030745,0.5209143,475,799,103
2437.555,0.3312812,-9.830592,1.522712,-1.403002,0.09800433,0.05965481,0.5049353,472,769,64
2437.559,0.3351875,-9.907206,1.580173,-1.407791,0.03515373,0.04474111,0.4889564,473,792,112
2437.562,0.3390937,-9.907206,1.580173,-1.441309,-0.04367584,0.03728426,0.4697816,463,788,73
2437.566,0.343,-9.959879,1.637634,-1.517924,-0.09374327,0.02450108,0.4569984,442,791,75
2437.57,0.3469062,-9.979033,1.637634,-1.517924,-0.1480718,0.002130529,0.4463458,456,847,84
2437.574,0.3508125,-10.00776,1.575385,-1.513135,-0.2162487,-0.02237055,0.4314321,487,786,84
2437.578,0.3547187,-9.993398,1.537077,-1.608904,-0.2641856,-0.04048005,0.4218447,436,766,82
2437.582,0.358625,-9.921572,1.474828,-1.61848,-0.3057309,-0.05326322,0.4133226,454,736,104
2437.586,0.3625312,-9.907206,1.407791,-1.714248,-0.3632552,-0.06924219,0.4005394,455,780,102
2437.59,0.3664375,-9.873688,1.264138,-1.728614,-0.4005394,-0.07243798,0.3941478,459,800,73
2437.594,0.3703437,-9.868899,1.192312,-1.776498,-0.4346279,-0.07563377,0.3877563,439,768,101
2437.598,0.37425,-9.787496,1.043872,-1.872266,-0.4697816,-0.07563377,0.3824299,474,797,93
2437.602,0.3781562,-9.811438,0.818817,-1.900996,-0.5060006,-0.0809601,0.3749731,459,752,74
2437.605,0.3820625,-9.71567,0.6464344,-1.968034,-0.5273059,-0.08735168,0.366451,473,772,68
2437.609,0.3859687,-9.672575,0.5841852,-1.982399,-0.5454154,-0.09161274,0.3600594,493,810,85
2437.613,0.389875,-9.59596,0.3112462,-2.073379,-0.5613944,-0.09267801,0.3526025,454,754,91
2437.617,0.3937812,-9.543288,0.1197101,-2.049437,-0.5603291,-0.09480853,0.3462109,474,775,73
2437.621,0.3976875,-9.576807,-0.01915361,-2.078167,-0.5603291,-0.08735168,0.3398194,481,765,118
2437.625,0.4015937,-9.538499,-0.1436521,-2.06859,-0.5475459,-0.07989483,0.3291667,447,782,92
2437.629,0.4055,-9.562441,-0.3830723,-2.035071,-0.5273059,-0.07882957,0.3153183,459,751,73
2437.633,0.4094062,-9.59596,-0.4213795,-2.044648,-0.5060006,-0.07563377,0.3067962,432,753,103
2437.637,0.4133125,-9.562441,-0.4740519,-1.996764,-0.479369,-0.07989483,0.3004046,434,817,61
2437.641,0.4172187,-9.428366,-0.5171476,-1.977611,-0.4527374,-0.08309063,0.2950782,478,783,33
2437.645,0.421125,-9.47625,-0.5027823,-1.939303,-0.4282363,-0.09374327,0.2897519,452,771,99
2437.648,0.4250312,-9.433155,-0.5363012,-1.953669,-0.4037352,-0.09374327,0.2876214,468,750,90
2437.652,0.4289375,-9.418789,-0.4740519,-1.82917,-0.3771036,-0.08841695,0.2876214,472,737,94
2437.656,0.4328437,-9.428366,-0.3878607,-1.8579,-0.350472,-0.07989483,0.2759035,458,757,66
2437.66,0.43675,-9.471462,-0.2825158,-1.752556,-0.3366236,-0.06924219,0.2727077,493,787,81
2437.664,0.4406562,-9.457097,-0.1675941,-1.604115,-0.3227751,-0.06178534,0.2684466,463,826,80
2437.668,0.4445625,-9.605537,-0.009576807,-1.364695,-0.3131877,-0.06178534,0.2641856,448,803,83
2437.672,0.4484687,-9.538499,0.09576807,-1.369483,-0.3057309,-0.05858954,0.2609898,497,777,101
2437.676,0.452375,-9.59596,0.09097966,-1.403002,-0.2993393,-0.05219796,0.2588593,455,786,105
2437.68,0.4562812,-9.591172,0.1244985,-1.383849,-0.298274,-0.04687164,0.2588593,461,770,133
2437.684,0.4601875,-9.643844,0.1580173,-1.369483,-0.3121225,-0.03728426,0.2524677,426,754,98
2437.688,0.4640937,-9.696517,0.2777274,-1.407791,-0.3281014,-0.04474111,0.2514024,462,769,86
2437.691,0.468,-9.696517,0.3351882,-1.455675,-0.3366236,-0.05006743,0.2535329,441,777,89
2437.695,0.4719062,-9.706094,0.4070143,-1.489193,-0.3312972,-0.05965481,0.2599245,448,790,73
2437.699,0.4758125,-9.696517,0.4261679,-1.513135,-0.3174488,-0.05965481,0.2684466,430,785,90
2437.703,0.4797187,-9.691728,0.4501099,-1.493982,-0.3004046,-0.05752428,0.278034,479,799,122
2437.707,0.483625,-9.59596,0.5027823,-1.484405,-0.278034,-0.06072007,0.2833603,438,806,76
2437.711,0.4875312,-9.591172,0.4596867,-1.594538,-0.2524677,-0.05645902,0.2950782,485,778,87
