t_native_s,t_opt_s,ax,ay,az,gx,gy,gz,mx,my,mz
2442.207,0.59375,-3.849876,-4.64954,8.719682,0.1235707,-0.02130529,0.1278317,-18,570,-485
2442.211,0.5976562,-3.955221,-4.563348,8.887277,0.1001349,0,0.1363538,-15,549,-490
2442.215,0.6015625,-4.041412,-4.333505,8.705317,0.08522115,0.01917476,0.1416802,-42,543,-478
2442.219,0.6054688,-3.945644,-4.702212,8.887277,0.06711166,0.02663161,0.1352886,-48,591,-551
2442.223,0.609375,-3.677494,-4.553772,8.772355,0.04261058,0.04687164,0.1363538,-15,537,-512
2442.227,0.6132812,-3.533842,-4.127604,8.954314,0.02556635,0.08628642,0.1512675,28,545,-496
2442.23,0.6171875,-3.53863,-3.643975,8.987833,0.001065264,0.1257012,0.1533981,-18,567,-508
2442.234,0.6210938,-3.801992,-5.027823,9.078813,-0.001065264,0.1640507,0.09374327,-4,593,-557
2442.238,0.625,-3.643975,-4.941632,8.480262,-0.03408846,0.2066613,0.1182444,15,570,-510
2442.242,0.6289062,-3.361459,-4.223372,9.485827,-0.02556635,0.2833603,0.1725728,-3,528,-529
2442.246,0.6328125,-4.094085,-3.308787,6.852205,-0.05432849,0.3685815,0.1832255,17,583,-531
2442.25,0.6367188,-4.031836,-4.218583,8.619126,0.1150486,0.4090615,0.1832255,-26,529,-496
2442.254,0.640625,-3.337517,-2.796428,10.77391,-0.2812298,0.5677859,0.05858954,-15,603,-560
2442.258,0.6445312,-1.221043,-4.381389,9.773131,-0.0628506,0.4197142,-0.02343582,-14,563,-519
2442.262,0.6484375,-1.795651,-7.010222,8.868123,-0.1928129,0.6562029,0.1789644,3,549,-549
2442.266,0.6523438,-3.351882,-7.158663,9.77792,-0.03515373,0.737163,0.1917476,9,547,-506
2442.27,0.65625,-3.65834,-4.697424,9.548076,-0.09693906,0.8223841,0.1587244,-11,560,-492
2442.273,0.6601562,-3.131616,-3.44765,9.782708,-0.169377,0.8980179,0.2098571,-25,567,-526
2442.277,0.6640625,-3.236961,-3.270479,8.983045,-0.2801645,0.9811085,0.2492719,-40,546,-522
2442.281,0.6679688,-3.557784,-6.852205,9.576807,-0.3419499,1.029045,0.2812298,21,535,-494
2442.285,0.671875,-2.954445,-7.905654,9.016563,-0.241815,1.111071,0.2876214,-43,544,-517
2442.289,0.6757812,-3.08852,-6.435614,9.313444,-0.2876214,1.295362,0.4303668,-12,592,-518
2442.293,0.6796875,-3.380613,-6.181829,9.193734,-0.2492719,1.374191,0.5060006,-45,611,-525
2442.297,0.6835938,-3.323152,-6.842628,9.346963,-0.2077266,1.466869,0.5060006,-15,556,-511
2442.301,0.6875,-3.289633,-6.076484,9.232042,-0.205596,1.606419,0.5592638,-18,580,-499
2442.305,0.6914062,-3.706224,-6.17704,9.251195,-0.1619202,1.715076,0.6498113,-13,530,-467
