t_native_s,t_opt_s,ax,ay,az,gx,gy,gz,mx,my,mz
2492.988,0.3125,-9.734824,-0.7661445,-0.1101333,0.00958738,-0.003195793,-0.008522115,961,-637,498
2492.992,0.3164062,-9.739612,-0.7996634,-0.09576807,0.01278317,-0.007456851,-0.00958738,925,-675,493
2492.996,0.3203125,-9.77792,-0.7900865,-0.08619126,0.01065264,-0.01065264,-0.01065264,918,-623,539
2493,0.3242188,-9.811438,-0.7374141,-0.1197101,0.01278317,-0.0149137,-0.01171791,924,-645,512
2493.004,0.328125,-9.782708,-0.7326257,-0.2154781,0.01065264,-0.01597897,-0.008522115,870,-653,504
2493.008,0.3320312,-9.821015,-0.6895301,-0.1388637,0.008522115,-0.0181095,-0.01278317,939,-641,515
2493.012,0.3359375,-9.825804,-0.6368576,-0.1244985,0.001065264,-0.02024002,-0.01278317,901,-638,536
2493.016,0.3398438,-9.849746,-0.6272808,-0.1101333,-0.003195793,-0.02237055,-0.01384844,897,-629,499
2493.02,0.34375,-9.80665,-0.5841852,-0.09576807,-0.005326322,-0.02663161,-0.01597897,911,-640,528
2493.023,0.3476562,-9.768343,-0.5889736,-0.1005565,-0.007456851,-0.02876214,-0.0181095,897,-675,499
2493.027,0.3515625,-9.830592,-0.5793968,-0.08140286,-0.006391587,-0.03195793,-0.02024002,908,-618,532
2493.031,0.3554688,-9.816227,-0.5554548,-0.05746084,-0.003195793,-0.03515373,-0.02343582,884,-641,485
2493.035,0.359375,-9.844957,-0.5506664,-0.05746084,0,-0.03408846,-0.02556635,926,-639,511
2493.039,0.3632812,-9.816227,-0.5315128,-0.04788403,-0.002130529,-0.03621899,-0.02556635,913,-597,499
2493.043,0.3671875,-9.825804,-0.5075708,-0.07182605,-0.007456851,-0.03834952,-0.02769688,889,-654,499
2493.047,0.3710938,-9.883264,-0.5123592,-0.1149217,-0.01704423,-0.04048005,-0.02556635,908,-639,479
2493.051,0.375,-9.816227,-0.4692635,-0.1436521,-0.02663161,-0.04474111,-0.02876214,854,-620,479
2493.055,0.3789062,-9.816227,-0.4644751,-0.1723825,-0.0330232,-0.04580637,-0.02556635,903,-638,490
2493.059,0.3828125,-9.801862,-0.4309563,-0.1532289,-0.04687164,-0.04900216,-0.02876214,920,-601,509
2493.062,0.3867188,-9.797073,-0.4357447,-0.2059013,-0.05326322,-0.05219796,-0.02769688,926,-660,536
2493.066,0.390625,-9.758766,-0.4070143,-0.2298434,-0.05965481,-0.05645902,-0.02769688,920,-597,509
2493.07,0.3945312,-9.763554,-0.3926491,-0.3399766,-0.0660464,-0.05965481,-0.02769688,948,-608,500
2493.074,0.3984375,-9.816227,-0.4165911,-0.3399766,-0.07456851,-0.05432849,-0.02663161,899,-605,530
